Entity,Code,Year,Corruption Perception Index - Transparency International (2018).x,Share of the population in extreme poverty.x,Corruption Perception Index - Transparency International (2018).y,Share of the population in extreme poverty.y,Oil production (TWh).x,HAQ Index (IHME (2017)).x,Gender Inequality Index (Human Development Report (2015)).x,GDP per capita (constant 2015 US$).x,freeexpr_bti.x,electfreefair_bti.x,"Foreign direct investment, net outflows (% of GDP).x","Foreign direct investment, net inflows (% of GDP).x",Birth rate - Sex: all - Age: all - Variant: estimates.x,Deaths - Cardiovascular diseases - Sex: Both - Age: Age-standardized (Rate).x,Oil production (TWh).y,HAQ Index (IHME (2017)).y,Gender Inequality Index (Human Development Report (2015)).y,GDP per capita (constant 2015 US$).y,freeexpr_bti.y,electfreefair_bti.y,"Foreign direct investment, net outflows (% of GDP).y","Foreign direct investment, net inflows (% of GDP).y",Birth rate - Sex: all - Age: all - Variant: estimates.y,Deaths - Cardiovascular diseases - Sex: Both - Age: Age-standardized (Rate).y
Algeria,DZA,2012,34,NA,34,NA,781.675537109375,NA,0.43200001,4012.361572265625,NA,NA,-0.01982318982481956,0.7176933288574219,25.381999969482425,426.84,781.675537109375,NA,0.43200001,4012.361572265625,NA,NA,-0.01982318982481956,0.7176933288574219,25.381999969482425,426.84
Algeria,DZA,2013,36,NA,36,NA,753.43792724609375,NA,0.42899999,4042.923583984375,6,6,-0.1295551210641861,0.806601345539093,25.236000061035156,418.71,753.43792724609375,NA,0.42899999,4042.923583984375,6,6,-0.1295551210641861,0.806601345539093,25.236000061035156,418.71
Algeria,DZA,2014,36,NA,36,NA,799.8067016601564,NA,0.42899999,4112.076171875,NA,NA,-0.00868572387844324,0.702589213848114,25.40399932861328,415.17,799.80670166015625,NA,0.42899999,4112.076171875,NA,NA,-0.00868572387844324,0.702589213848114,25.40399932861328,415.17
Algeria,DZA,2015,36,2.09,36,2.09,781.82672119140625,63.7,0.42899999,4177.8896484375,6,5,0.06092464923858642,-0.32401207089424133,25.405000686645508,412.81,781.82672119140625,63.7,0.42899999,4177.8896484375,6,5,0.06092464923858642,-0.32401207089424133,25.405000686645508,412.81
Algeria,DZA,2016,34,1.88,34,1.88,795.689697265625,NA,NA,4224.037109375,NA,NA,0.02908184193074703,1.0236964225769043,25.166000366210938,405.9,795.689697265625,NA,NA,4224.037109375,NA,NA,0.02908184193074703,1.0236964225769043,25.166000366210938,405.9
Algeria,DZA,2017,33,1.91,33,1.91,775.1162109375,NA,NA,4192.337890625,6,5,-0.00503619946539402,0.7232598662376404,24.7549991607666,401.39,775.1162109375,NA,NA,4192.337890625,6,5,-0.00503619946539402,0.7232598662376404,24.7549991607666,401.39
Algeria,DZA,2018,35,1.99,35,1.99,759.8111572265625,NA,NA,4154.21923828125,NA,NA,0.48379582166671753,0.838207483291626,24.073999404907227,399.51,759.8111572265625,NA,NA,4154.21923828125,NA,NA,0.48379582166671753,0.838207483291626,24.073999404907227,399.51
Angola,AGO,2012,22,NA,22,NA,991.9908447265624,NA,NA,4167.1259765625,NA,NA,0.6922733187675476,-1.143768310546875,43.86000061035156,321.76,991.9908447265624,NA,NA,4167.1259765625,NA,NA,0.6922733187675476,-1.143768310546875,43.86000061035156,321.76
Angola,AGO,2013,23,NA,23,NA,990.94482421875,NA,NA,4220.96484375,5,4,0.6741036772727966,-5.208122730255127,43.28200149536133,316.38,990.94482421875,NA,NA,4220.96484375,5,4,0.6741036772727966,-5.208122730255127,43.28200149536133,316.38
Angola,AGO,2014,19,NA,19,NA,968.51629638671875,NA,NA,4272.45556640625,NA,NA,0.6085917949676514,2.5100951194763184,42.67599868774414,307.12,968.51629638671875,NA,NA,4272.45556640625,NA,NA,0.6085917949676514,2.5100951194763184,42.67599868774414,307.12
Angola,AGO,2015,15,24.65,15,24.65,1025.3316650390625,40.7,NA,4166.97998046875,4,3,-0.6754845976829529,8.630605697631836,42.02000045776367,305.34,1025.3316650390625,40.7,NA,4166.97998046875,4,3,-0.6754845976829529,8.630605697631836,42.02000045776367,305.34
Angola,AGO,2016,18,25.75,18,25.75,997.48223876953125,NA,NA,3924.620361328125,NA,NA,0.26997092366218567,-0.17752252519130707,41.37699890136719,302.73,997.48223876953125,NA,NA,3924.620361328125,NA,NA,0.26997092366218567,-0.17752252519130707,41.37699890136719,302.73
Angola,AGO,2017,19,26.38,19,26.38,949.0654907226564,NA,NA,3790.79150390625,4,3,1.1070772409439087,-6.057209014892578,40.810001373291016,302.39,949.06549072265625,NA,NA,3790.79150390625,4,3,1.1070772409439087,-6.057209014892578,40.810001373291016,302.39
Angola,AGO,2018,19,26.92,19,26.92,861.61358642578125,NA,NA,3595.106689453125,NA,NA,0.00563787389546632,-6.369877338409424,40.23600006103515,303.34,861.61358642578125,NA,NA,3595.106689453125,NA,NA,0.00563787389546632,-6.369877338409424,40.23600006103515,303.34
